image,fold,segment,kpost
101738847_K45791_F1B04-600_1_21.jpg,0,F1B04,45791
101739882_K45752_F1B04-598_1_21.jpg,0,F1B04,45752
101740959_K45712_F1B04-596_1_21.jpg,0,F1B04,45712
101741984_K45671_F1B04-594_1_21.jpg,0,F1B04,45671
101743097_K45633_F1B04-592_1_21.jpg,0,F1B04,45633
101744188_K45591_F1B04-590_1_21.jpg,0,F1B04,45591
101745313_K45552_F1B04-588_1_21.jpg,0,F1B04,45552
101746409_K45511_F1B04-586_1_21.jpg,0,F1B04,45511
101747520_K45471_F1B04-584_1_21.jpg,0,F1B04,45471
101748650_K45431_F1B04-582_1_21.jpg,0,F1B04,45431
101749578_K45392_F1B04-580_1_21.jpg,0,F1B04,45392
101750467_K45357_F1B04-576a_1_21.jpg,0,F1B04,45357
101751403_K45325_F1B04-574a_1_21.jpg,0,F1B04,45325
101752397_K45296_F1B04-574_1_21.jpg,0,F1B04,45296
101753624_K45260_F1B04-572_1_21.jpg,0,F1B04,45260
101754849_K45219_F1B04-570_1_21.jpg,0,F1B04,45219
101756076_K45180_F1B04-568_1_21.jpg,0,F1B04,45180
101757382_K45141_F1B04-566_1_21.jpg,0,F1B04,45141
101758791_K45101_F1B04-564_1_21.jpg,0,F1B04,45101
101800213_K45060_F1B04-562_1_21.jpg,0,F1B04,45060
101801521_K45021_F1B04-560_1_21.jpg,0,F1B04,45021
101802838_K44986_F1B04-558_1_21.jpg,0,F1B04,44986
101804152_K44950_F1B04-556_1_21.jpg,0,F1B04,44950
101805480_K44915_F1B04-554_1_21.jpg,0,F1B04,44915
101806836_K44878_F1B04-550a_1_21.jpg,0,F1B04,44878
101811980_K44742_F1B04-544_1_21.jpg,0,F1B04,44742
101813411_K44706_F1B04-542_1_22.jpg,0,F1B04,44706
101813413_K44706_F1B04-542_1_21.jpg,0,F1B04,44706
101814715_K44668_F1B04-540_1_21.jpg,0,F1B04,44668
101815823_K44632_F1B04-538_1_21.jpg,0,F1B04,44632
101817058_K44568_F1B04-534_1_21.jpg,0,F1B04,44568
101818205_K44566_F1B04-532a_1_21.jpg,0,F1B04,44566
101819557_K44533_F1B04-532_1_21.jpg,0,F1B04,44533
101820848_K44492_F1B04-530_1_21.jpg,0,F1B04,44492
101822106_K44453_F1B04-528_1_21.jpg,0,F1B04,44453
101823350_K44413_F1B04-526_1_21.jpg,0,F1B04,44413
101824554_K44373_F1B04-524_1_21.jpg,0,F1B04,44373
101825777_K44333_F1B04-522_1_21.jpg,0,F1B04,44333
101826982_K44292_F1B04-520_1_21.jpg,0,F1B04,44292
101828079_K44251_F1B04-518_1_21.jpg,0,F1B04,44251
101829200_K44212_F1B04-516_1_21.jpg,0,F1B04,44212
101831463_K44133_F1B04-512_1_21.jpg,0,F1B04,44133
101832522_K44091_F1B04-510_1_21.jpg,0,F1B04,44091
101833610_K44052_F1B04-508_1_21.jpg,0,F1B04,44052
101834706_K44012_F1B04-506_1_21.jpg,0,F1B04,44012
101835776_K43972_F1B04-504_1_21.jpg,0,F1B04,43972
101836892_K43933_F1B04-502_1_21.jpg,0,F1B04,43933
101837965_K43891_F1B04-500_1_21.jpg,0,F1B04,43891
101839039_K43852_F1B04-498_1_21.jpg,0,F1B04,43852
101840124_K43812_F1B04-496_1_21.jpg,0,F1B04,43812
101841242_K43772_F1B04-494_1_21.jpg,0,F1B04,43772
101842321_K43731_F1B04-492_1_21.jpg,0,F1B04,43731
101843371_K43691_F1B04-490_1_21.jpg,0,F1B04,43691
101844264_K43652_F1B04-488_1_21.jpg,0,F1B04,43652
101845165_K43618_F1B04-484a_1_22.jpg,0,F1B04,43618
101845167_K43618_F1B04-484a_1_21.jpg,0,F1B04,43618
101845983_K43588_F1B04-484_1_21.jpg,0,F1B04,43588
101846957_K43556_F1B04-482_1_22.jpg,0,F1B04,43556
101846959_K43556_F1B04-482_1_21.jpg,0,F1B04,43556
101848099_K43520_F1B04-480_1_21.jpg,0,F1B04,43520
101850060_K43445_F1B04-476_1_21.jpg,0,F1B04,43445
101851060_K43409_F1B04-474_1_21.jpg,0,F1B04,43409
101852180_K43374_F1B04-472_1_21.jpg,0,F1B04,43374
101854513_K43296_F1B04-468_1_21.jpg,0,F1B04,43296
101855576_K43257_F1B04-466_1_21.jpg,0,F1B04,43257
102136760_K37386_F1B04-158_1_21.jpg,0,F1B04,37386
102139839_K37151_F1B04-146_1_21.jpg,0,F1B04,37151
102141032_K37107_F1B04-144_1_21.jpg,0,F1B04,37107
102142242_K37107_F1B04-144_1_21.jpg,0,F1B04,37107
102143329_K37061_F1B04-142_1_21.jpg,0,F1B04,37061
102144565_K37021_F1B04-140_1_21.jpg,0,F1B04,37021
102145824_K36976_F1B04-138_1_21.jpg,0,F1B04,36976
102147116_K36931_F1B04-136_1_21.jpg,0,F1B04,36931
102148448_K36886_F1B04-134_1_21.jpg,0,F1B04,36886
102149823_K36843_F1B04-132_1_21.jpg,0,F1B04,36843
102151085_K36796_F1B04-130_1_21.jpg,0,F1B04,36796
102152561_K36756_F1B04-128_1_21.jpg,0,F1B04,36756
102154085_K36711_F1B04-126_1_21.jpg,0,F1B04,36711
102155711_K36666_F1B04-124_1_21.jpg,0,F1B04,36666
102157406_K36621_F1B04-122_1_21.jpg,0,F1B04,36621
102159151_K36580_F1B04-120_1_21.jpg,0,F1B04,36580
