domain,image,box_index,class_id,class_name,box_area_ratio,box_aspect,box_width_px,box_height_px,box_min_side_px,box_min_side_fullframe_1280,box_min_side_protocol_input,box_edge_distance,fg_luma_mean,bg_luma_mean,fg_bg_luma_abs,fg_edge_density,bg_edge_density,fg_bg_hist_js
actual,1.jpg,0,15,DRPS,0.005292986206,0.25201832710009525,186.99776,742.00064,186.99776,46.74944,186.99776,0.28281249999999997,235.4997662459093,243.81574130567418,8.315975059764867,0.1916783543712015,0.11073825503355705,0.017444049044874253
actual,10.jpg,0,15,DRPS,0.00344042688,0.23311711830364495,144.9984,621.99808,144.9984,36.2496,144.9984,0.12246100000000001,216.18162393162393,229.01340996168582,12.831786030061892,0.26495726495726496,0.08955938697318008,0.0526354798591014
actual,10.jpg,1,14,INSD,0.015273744824,1.1011691983731415,664.00256,602.99776,602.99776,150.74944,602.99776,0.21542899999999998,217.93294229549778,209.35920673845825,8.573735557039527,0.19657577679137603,0.08039236592387249,0.09040786461940617
actual,100723252_K58825_F1B05-246_1_21.jpg,0,5,CBHPM,0.001991509497,1.0221109625971319,230.99903999999998,226.00191999999998,226.00191999999998,56.500479999999996,226.00191999999998,0.1306645,47.73152709359606,51.4887730553328,3.757245961736743,0.02586206896551724,0.04570970328789094,0.10566344060657212
actual,100723252_K58825_F1B05-246_1_21.jpg,1,5,CBHPM,0.002028111316,0.885710106160662,217.00096,245.00224,217.00096,54.25024,217.00096,0.04238299999999995,38.84468339307049,39.24745624745625,0.40277285438575916,0.008363201911589008,0.02197802197802198,0.002722749488401975
actual,100725103_K58794_F1B05-244_1_21.jpg,0,6,CBVPM,0.001870011255,0.759841964159729,192.9984,253.99808000000002,192.9984,48.2496,192.9984,0.1496095,47.157552083333336,49.91059027777778,2.753038194444443,0.014322916666666666,0.03428819444444445,0.060383618709475596
actual,100726856_K58759_F1B05-242_1_21.jpg,0,5,CBHPM,0.0020980004149999997,0.8326924992529137,214.00064,256.9984,214.00064,53.50016,214.00064,0.1429685,47.967592592592595,53.24768518518518,5.280092592592588,0.006944444444444444,0.03780864197530864,0.123215935308245
actual,100730000_K58690_F1B05-238_1_21.jpg,0,6,CBVPM,0.001378402368,1.1404245527239258,202.99776000000003,178.00191999999998,178.00191999999998,44.500479999999996,178.00191999999998,0.154492,46.40181818181818,50.26210153482881,3.8602833530106295,0.025454545454545455,0.043683589138134596,0.10696567227854956
actual,100731529_K58655_F1B05-236_1_22.jpg,0,5,CBHPM,0.002175429834,0.7881002683720664,211.99872,268.99968,211.99872,52.99968,211.99872,0.13164100000000004,34.12200435729847,37.75161412837068,3.629609771072211,0.010893246187363835,0.014812001519179644,0.072803420913779
actual,100735953_K58553_F1B05-228_1_21.jpg,0,6,CBVPM,0.0014048764159999999,0.9393876706661151,185.99936,198.00063999999998,185.99936,46.49984,185.99936,0.12382800000000001,40.283478260869565,40.92289855072464,0.6394202898550745,0.0,0.015072463768115942,0.0136181841161882
actual,100737555_K58513_F1B05-226_1_21.jpg,0,5,CBHPM,0.000962790979,0.787706301307171,140.99968,179.00032,140.99968,35.24992,140.99968,0.1490235,42.08585858585859,40.64800678541137,1.4378518004472198,0.0,0.008481764206955046,0.04555427187953838
