image,gt_class,gt_class_id,error_type,best_iou_any,best_iou_same_class,best_pred_class_id
1.jpg,DRPS,15,no_overlapping_detection,0.0,0.0,4
10.jpg,DRPS,15,no_overlapping_detection,0.0,0.0,13
10.jpg,INSD,14,no_overlapping_detection,0.0,0.0,13
100723252_K58825_F1B05-246_1_21.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,13
100723252_K58825_F1B05-246_1_21.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,13
100725103_K58794_F1B05-244_1_21.jpg,CBVPM,6,no_overlapping_detection,0.0,0.0,13
100726856_K58759_F1B05-242_1_21.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,13
100730000_K58690_F1B05-238_1_21.jpg,CBVPM,6,no_overlapping_detection,0.0,0.0,-1
100731529_K58655_F1B05-236_1_22.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,14
100735953_K58553_F1B05-228_1_21.jpg,CBVPM,6,no_overlapping_detection,0.0,0.0,13
100737555_K58513_F1B05-226_1_21.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,14
100739171_K58473_F1B05-224_1_21.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,4
100740703_K58433_F1B05-222_1_21.jpg,CBVPM,6,no_overlapping_detection,0.0,0.0,-1
100742308_K58393_F1B05-220_1_21.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,13
100743823_K58351_F1B05-218_1_21.jpg,CBVPM,6,no_overlapping_detection,0.0,0.0,13
100819469_K57340_F1B05-166_1_21.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,13
100820846_K57300_F1B05-164_1_21.jpg,CBVPM,6,no_overlapping_detection,0.0,0.0,4
100822222_K57260_F1B05-162_1_21.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,13
100823633_K57220_F1B05-160_1_21.jpg,CBVPM,6,no_overlapping_detection,0.0,0.0,13
100825030_K57180_F1B05-158_1_21.jpg,CBVPM,6,no_overlapping_detection,0.0,0.0,12
100826410_K57140_F1B05-156_1_21.jpg,CBVPM,6,no_overlapping_detection,0.0,0.0,13
100831858_K56981_F1B05-148_1_21.jpg,CBHPM,5,no_overlapping_detection,0.0,0.0,13
100837754_K56813_F1B05-138_1_21.jpg,CBVPM,6,misclassified,0.5023355029218082,0.0,12
